region,district,R,F,M,total_restaurants,population,R_scaled,F_scaled,M_scaled,cluster,cluster_name,potential_score,density_weight,growth_multiplier,estimated_ltv,investment_score,marketing_investment,expected_additional_revenue,roi_ratio
경상남도,창원시 의창구,5.048133364639587,4,0.10559666078528986,4474,175804.0,0.3964706897528298,0.0,-0.2369712072322827,1,저밀도 성장형,0.06379979300821884,1.2,1.0504813336463958,5639.82418408077,5924.530030424363,100000000,18173280.11270251,18.17328011270251
경상남도,창원시 진해구,0.5136586504786365,4,0.07557038525624417,4305,158241.0,-2.6562860406422755,0.0,-0.4361844864564095,0,고밀도 안정형,-1.236988210839474,1.0,1.0051365865047863,4327.113004903105,4349.339595168776,50000000,770487.9757179548,1.5409759514359096
경상남도,통영시,3.4887408816999685,4,0.10526884947954669,3263,98716.0,-0.6533633478601284,0.0,-0.23914611451043205,0,고밀도 안정형,-0.3570037849482242,1.2,1.0348874088169997,4052.2051379638438,4193.576075222335,50000000,6279733.587059943,12.559467174119888
경상남도,하동군,1.7513134851138354,4,0.23865191652687115,1162,32033.0,-1.8230563140458698,0.0,0.645801409326321,0,고밀도 안정형,-0.4709019618878196,1.2,1.0175131348511384,1418.8203152364272,1443.6683067466975,50000000,3152364.273204903,6.304728546409806
경상남도,함안군,4.097222222222222,4,0.16488182186163566,1499,56821.0,-0.243713801949525,0.0,0.156364001322795,0,고밀도 안정형,-0.03493992025069201,1.2,1.0409722222222222,1872.5008333333333,1949.2213535879628,50000000,7374999.999999999,14.75
경상남도,함양군,5.875440658049354,4,0.3029182356105433,901,28600.0,0.9534410263994088,0.0,1.072184766660727,1,저밀도 성장형,0.8102503172240543,1.2,1.0587544065804935,1144.7252643948295,1211.9829180020463,100000000,21151586.36897767,21.15158636897767
경상남도,합천군,1.5950920245398774,4,0.1814338003281585,828,32832.0,-1.9282297123470993,0.0,0.2661802822256149,0,고밀도 안정형,-0.6648197720485938,1.2,1.0159509202453987,1009.448834355828,1025.5504722044484,50000000,2871165.644171779,5.742331288343558
경상북도,경산시,5.207059234667133,4,0.060550142849462564,6021,240189.0,0.5034647849774323,0.0,-0.5358382627531648,1,저밀도 성장형,-0.012949391110293001,1.0,1.0520705923466713,6334.517036519308,6664.35909084095,100000000,15621177.704001397,15.621177704001395
경상북도,경주시,4.673780899635283,4,0.05694534499105248,7749,231032.0,0.14444436275337527,0.0,-0.559754768868594,1,저밀도 성장형,-0.1661241624460875,1.0,1.0467378089963528,8111.171281912738,8490.269656023478,100000000,14021342.69890585,14.021342698905851
경상북도,고령군,2.7480916030534353,4,0.25398737535560123,673,29118.0,-1.1519926738081636,0.0,0.7475465304860416,0,고밀도 안정형,-0.16177845732884882,1.2,1.0274809160305343,829.7935877862594,852.5970756948893,50000000,4946564.885496183,9.893129770992367
경상북도,구미시,5.253564919052215,4,0.043104358228663694,9817,346124.0,0.5347739332156662,0.0,-0.6515846182938394,1,저밀도 성장형,-0.04672427403126925,1.0,1.0525356491905222,10332.742468103357,10875.579801583646,100000000,15760694.757156644,15.760694757156642
경상북도,김천시,2.6211015262110156,4,0.08139520165154628,3093,112759.0,-1.2374865482283723,0.0,-0.39753897499881613,0,고밀도 안정형,-0.6540102092908755,1.0,1.0262110152621102,3174.070670205707,3257.266284985485,50000000,3931652.289316524,7.8633045786330475
경상북도,문경시,3.7606837606837606,4,0.16016836941211612,1821,51213.0,-0.47028250466826,0.0,0.12509198032147356,0,고밀도 안정형,-0.1380762097387146,1.2,1.0376068376068377,2267.378461538462,2352.6473951347803,50000000,6769230.769230768,13.538461538461535
경상북도,봉화군,3.102189781021898,4,0.2616312453462053,565,22036.0,-0.9136021954936562,0.0,0.7982607925768594,0,고밀도 안정형,-0.046136561166718715,1.2,1.031021897810219,699.0328467153284,720.7181722521178,50000000,5583941.605839415,11.16788321167883
경상북도,상주시,3.0606860158311346,4,0.10300833929776056,1953,72365.0,-0.9415438880842356,0.0,-0.25414376700308056,0,고밀도 안정형,-0.47827506203492653,1.2,1.0306068601583114,2415.3302374670184,2489.2559122813122,50000000,5509234.828496043,11.018469656992085
경상북도,성주군,4.638619201725998,4,0.20870789587154265,970,37481.0,0.12077235734788197,0.0,0.44713386089419727,1,저밀도 성장형,0.2271624872968317,1.2,1.04638619201726,1217.9935275080904,1274.4916091508605,100000000,16699029.126213592,16.699029126213592
경상북도,안동시,6.068965517241379,4,0.07331011509516473,3845,127302.0,1.0837282930925558,0.0,-0.45118054650007056,1,저밀도 성장형,0.2530190986369941,1.0,1.0606896551724139,4078.3517241379313,4325.865483947682,100000000,18206896.551724136,18.206896551724135
경상북도,영덕군,2.611150317572336,4,0.3959711164397458,1454,28465.0,-1.2441860274541412,0.0,1.6895563588618754,0,고밀도 안정형,0.17814813256309375,1.2,1.0261115031757233,1790.359350741002,1837.1083246135615,50000000,4700070.571630204,9.400141143260408
경상북도,영양군,3.571428571428571,4,0.4922345752355088,261,11783.0,-0.5976952898706326,0.0,2.3282289533902865,0,고밀도 안정형,0.6922134654078617,1.2,1.0357142857142858,324.3857142857143,335.970918367347,50000000,6428571.428571428,12.857142857142856
경상북도,영주시,4.309252217997465,4,0.09943183705936927,2469,80883.0,-0.10096827188247967,0.0,-0.2778725421011822,1,저밀도 성장형,-0.15153632559346475,1.2,1.0430925221799747,3090.4745247148285,3223.650866717749,100000000,15513307.984790877,15.513307984790877
경상북도,영천시,3.86946386946387,4,0.11110479456085182,2228,82185.0,-0.3970481765167494,0.0,-0.20042676831999037,1,저밀도 성장형,-0.2389899779346959,1.2,1.0386946386946387,2777.053986013986,2884.511086638304,100000000,13930069.93006993,13.93006993006993
경상북도,예천군,6.010362694300518,4,0.17625198348089915,1023,42994.0,1.0442749554007238,0.0,0.23180083594754466,1,저밀도 성장형,0.5104303165393074,1.2,1.060103626943005,1301.383212435233,1379.6010635453297,100000000,21637305.699481864,21.637305699481864
경상북도,울릉군,3.614457831325301,4,1.454791508077476,344,5630.0,-0.5687265843349203,0.0,8.714439685582963,0,고밀도 안정형,3.2582852404992177,1.2,1.036144578313253,427.7204819277108,443.18025838292925,50000000,6506024.09638554,13.012048192771081
경상북도,울진군,4.831932773109244,4,0.23086617534478793,1497,38828.0,0.25091737817552995,0.0,0.5941458841323036,1,저밀도 성장형,0.33802530492313343,1.2,1.0483193277310925,1883.2008403361344,1974.1958389238048,100000000,17394957.98319328,17.39495798319328
경상북도,의성군,2.751196172248804,4,0.16526604177248308,859,36095.0,-1.149902576254738,0.0,0.1589131589200825,0,고밀도 안정형,-0.3963957669338622,1.2,1.027511961722488,1059.1593301435405,1088.2988810924655,50000000,4952153.110047847,9.904306220095695
경상북도,청도군,3.867403314917127,4,0.23090858844842937,940,32567.0,-0.39843540925205856,0.0,0.5944272794538883,0,고밀도 안정형,0.07839674808073188,1.2,1.0386740331491713,1171.624309392265,1216.9357467720765,50000000,6961325.966850828,13.922651933701658
경상북도,청송군,4.580152671755725,4,0.3598203104645202,685,18664.0,0.08141077654289897,0.0,1.4497090758395994,0,고밀도 안정형,0.6124479409529994,1.2,1.0458015267175573,859.6488549618321,899.0220849600839,50000000,8244274.809160304,16.488549618320608
경상북도,칠곡군,4.7686832740213525,4,0.13858596745526977,2944,103122.0,0.20833574607783967,0.0,-0.01809930769549958,1,저밀도 성장형,0.07609457535293604,1.2,1.0476868327402136,3701.2680427046266,3877.76979278378,100000000,17167259.78647687,17.16725978647687
경상북도,포항시 남구,3.8930210476341194,4,0.09208545760504058,6565,192163.0,-0.3811887134605853,0.0,-0.3266130640518939,1,저밀도 성장형,-0.2831207110049917,1.2,1.0389302104763412,8184.692198132615,8503.323988089986,100000000,14014875.771482829,14.01487577148283
경상북도,포항시 북구,4.624379872430899,4,0.07322664292064905,5905,220328.0,0.11118597500326942,0.0,-0.45173435363453024,1,저밀도 성장형,-0.13621935145250436,1.0,1.046243798724309,6178.069631467044,6463.767040009371,100000000,13873139.617292698,13.873139617292699
광주광역시,광산구,5.041677870395268,4,0.04096843615073683,7813,361189.0,0.3921246398254087,0.0,-0.6657556746041504,1,저밀도 성장형,-0.10945241391149668,1.0,1.0504167787039527,8206.906292013982,8620.672070382529,100000000,15125033.611185802,15.1250336111858
광주광역시,남구,5.358914985114125,4,0.050379980523748064,3185,162937.0,0.6056990443897783,0.0,-0.603313544034301,1,저밀도 성장형,0.0009542001421909141,1.0,1.0535891498511412,3355.681442275885,3535.5095579387007,100000000,16076744.955342375,16.076744955342377
광주광역시,동구,3.9455307262569828,4,0.10037863685001926,2977,90145.0,-0.34583747987089897,0.0,-0.2715908742039551,1,저밀도 성장형,-0.24697134162994167,1.2,1.0394553072625698,3713.3501396648044,3859.861510398786,100000000,14203910.61452514,14.203910614525139
광주광역시,북구,4.627209838585703,4,0.025862237537713134,6806,372753.0,0.11309120080569518,0.0,-0.7659797386709819,1,저밀도 성장형,-0.26115541514611473,1.0,1.046272098385857,7120.927901614144,7450.4281780762285,100000000,13881629.515757108,13.881629515757107
광주광역시,서구,4.365413787291421,4,0.050743734992614135,6192,247014.0,-0.06315846601538534,0.0,-0.600900167106978,1,저밀도 성장형,-0.2656234532489453,1.0,1.0436541378729143,6462.306421709085,6744.412837219393,100000000,13096241.361874262,13.096241361874261
대구광역시,군위군,4.444444444444445,4,0.334108892485891,470,17367.0,-0.009952442001623834,0.0,1.2791232872668505,0,고밀도 안정형,0.5076683381060907,1.2,1.0444444444444445,589.0666666666666,615.2474074074074,50000000,8000000.000000001,16.000000000000004
대구광역시,남구,4.820333041191937,4,0.08067524006729952,3588,122183.0,0.24310805914442976,0.0,-0.40231565494283555,1,저밀도 성장형,-0.06368303831936231,1.0,1.0482033304119194,3760.9535495179666,3942.244036129262,100000000,14460999.12357581,14.46099912357581
대구광역시,달서구,3.5541945063103193,4,0.030200679305538637,11159,488750.0,-0.6092978263491156,0.0,-0.7371957754233461,1,저밀도 성장형,-0.5385974407089846,1.0,1.0355419450631032,11555.612564959169,11966.321511913451,100000000,10662583.518930959,10.662583518930958
대구광역시,달성군,5.517404688609993,4,0.0777387758013008,4456,209964.0,0.7123994980353475,0.0,-0.42179801382508175,1,저밀도 성장형,0.11624059368410627,1.0,1.0551740468861,4701.855552924461,4961.275951653185,100000000,16552214.06582998,16.55221406582998
대구광역시,동구,3.2520325203252036,4,0.03349327824190143,5715,287258.0,-0.8127231610422206,0.0,-0.7153505941704066,1,저밀도 성장형,-0.6112295020850509,1.0,1.032520325203252,5900.853658536585,6092.7513384889935,100000000,9756097.560975611,9.756097560975611
대구광역시,북구,4.360273067606254,4,0.03659792090756048,9478,372628.0,-0.06661936669456589,0.0,-0.6947524335478285,1,저밀도 성장형,-0.30454872009695777,1.0,1.0436027306760625,9891.26668134772,10322.552918499636,100000000,13080819.202818763,13.080819202818764
대구광역시,서구,4.035087719298246,4,0.07298508248914332,4151,150462.0,-0.2855447821507283,0.0,-0.45333701812898286,1,저밀도 성장형,-0.2955527201118845,1.0,1.0403508771929824,4318.49649122807,4492.75161280394,100000000,12105263.157894738,12.105263157894738
대구광역시,수성구,4.395292783212818,4,0.029967883082292382,7363,339829.0,-0.043042948420450325,0.0,-0.7387402926239233,1,저밀도 성장형,-0.3127132964177494,1.0,1.0439529278321282,7686.62540762796,8024.475099442036,100000000,13185878.34963845,13.18587834963845
대구광역시,중구,3.6124794745484397,4,0.1728988000658871,4417,76948.0,-0.5700584788423094,0.0,0.20955369899250254,0,고밀도 안정형,-0.14420191193992277,1.2,1.0361247947454844,5491.875862068966,5690.268750353887,50000000,6502463.054187192,13.004926108374384
대전광역시,대덕구,3.1741650565829422,4,0.0805943542555242,3738,151570.0,-0.8651460851960652,0.0,-0.40285230251309045,0,고밀도 안정형,-0.5071993550836622,1.0,1.0317416505658294,3856.65028981507,3979.066735668985,50000000,4761247.584874413,9.522495169748826
대전광역시,동구,2.5646694671678087,4,0.054225733440742135,4639,206642.0,-1.2754784566441812,0.0,-0.5777983898507915,0,고밀도 안정형,-0.7413107385979891,1.0,1.025646694671678,4757.975016581914,4880.001349087663,50000000,3847004.200751713,7.694008401503425
대전광역시,서구,3.6322237883551987,4,0.03167921096690666,9558,407719.0,-0.5567659608197959,0.0,-0.7273862624048936,1,저밀도 성장형,-0.5136608892898759,1.0,1.036322237883552,9905.167949690991,10264.9458162362,100000000,10896671.365065597,10.896671365065597
대전광역시,유성구,4.693140794223827,4,0.04835626040028364,7540,323498.0,0.1574780771812771,0.0,-0.6167401817016074,1,저밀도 성장형,-0.18370484180813212,1.0,1.0469314079422383,7893.862815884477,8264.332911936817,100000000,14079422.38267148,14.079422382671481
대전광역시,중구,2.9314696175499906,4,0.05789669918491232,5302,197364.0,-1.0285365949347727,0.0,-0.5534428841834916,0,고밀도 안정형,-0.6327917916473058,1.0,1.0293146961755,5457.426519122501,5617.409319430694,50000000,4397204.426324986,8.794408852649973
부산광역시,강서구,4.862385321100918,4,0.14305655068419748,3429,116357.0,0.27141902978887755,0.0,0.011561365477820227,1,저밀도 성장형,0.11319215810667912,1.2,1.0486238532110093,4314.877431192661,4524.683398030469,100000000,17504587.1559633,17.504587155963304
부산광역시,금정구,2.1333885666942836,4,0.06060327332400732,4931,200407.0,-1.5658308689092115,0.0,-0.5354857616229278,0,고밀도 안정형,-0.8405266522128557,1.0,1.021333885666943,5036.197390223695,5143.639049542884,50000000,3200082.850041425,6.40016570008285
부산광역시,기장군,3.7360890302066774,4,0.1718116389724444,3915,125201.0,-0.4868404818826202,0.0,0.20234078554740664,0,고밀도 안정형,-0.11379987853408544,1.2,1.0373608903020668,4873.52146263911,5055.6005633895375,50000000,6724960.254372019,13.44992050874404
부산광역시,남구,3.7431991294885747,4,0.047990235965181496,4767,226787.0,-0.48205373042741756,0.0,-0.6191686190188604,1,저밀도 성장형,-0.4404889397785112,1.0,1.0374319912948857,4945.438302502721,5130.555905991398,100000000,11229597.388465723,11.229597388465724
부산광역시,동구,3.3151680290644867,4,0.13110914591468223,2275,73215.0,-0.7702182709765961,0.0,-0.06770526484570266,0,고밀도 안정형,-0.33516941432891956,1.2,1.0331516802906449,2820.5040871934602,2914.008536950555,50000000,5967302.452316076,11.93460490463215
부산광역시,동래구,3.9819684447783623,4,0.06290165707689091,5536,220026.0,-0.3213064156422242,0.0,-0.5202368319351788,1,저밀도 성장형,-0.3366172990309612,1.0,1.0398196844477836,5756.44177310293,5985.661468049929,100000000,11945905.334335087,11.945905334335087
부산광역시,부산진구,3.94879845429296,4,0.048893003444150845,8608,292455.0,-0.34363753844796463,0.0,-0.6131790892921911,1,저밀도 성장형,-0.3827266510960623,1.0,1.0394879845429297,8947.912570945538,9301.247604238522,100000000,11846395.36287888,11.84639536287888
부산광역시,북구,3.4669289402507992,4,0.048229596720112344,4208,235809.0,-0.6680478604573624,0.0,-0.6175805485683241,1,저밀도 성장형,-0.5142513636102746,1.0,1.034669289402508,4353.888369805754,4504.834585724764,100000000,10400786.820752397,10.400786820752398
부산광역시,사상구,2.0947393477743397,4,0.072331111828857,4289,187056.0,-1.5918507875590842,0.0,-0.4576758725974959,0,고밀도 안정형,-0.8198106640626321,1.0,1.0209473934777433,4378.843370626041,4470.568725687953,50000000,3142109.0216615093,6.284218043323018
